Data;acd;pesid2;gravidade
05/04/2019;176;14;7,954545455
05/04/2020;110;23;20,90909091
05/05/2007;169;18;10,65088757
05/05/2008;133;11;8,270676692
05/05/2009;123;11;8,943089431
05/05/2010;166;18;10,84337349
05/05/2011;182;22;12,08791209
05/05/2012;236;33;13,98305085
05/05/2013;204;31;15,19607843
05/05/2014;162;14;8,641975309
05/05/2015;160;13;8,125
05/05/2016;163;10;6,134969325
05/05/2017;183;19;10,38251366
05/05/2018;146;31;21,23287671
05/05/2019;157;21;13,37579618
05/05/2020;105;13;12,38095238
05/06/2007;122;14;11,47540984
05/06/2008;129;17;13,17829457
05/06/2009;168;20;11,9047619
05/06/2010;232;36;15,51724138
05/06/2011;267;47;17,60299625
05/06/2012;161;16;9,937888199
05/06/2013;160;16;10
05/06/2014;172;23;13,37209302
05/06/2015;196;23;11,73469388
05/06/2016;195;31;15,8974359
05/06/2017;175;16;9,142857143
05/06/2018;114;17;14,9122807
05/06/2019;114;6;5,263157895
05/06/2020;143;16;11,18881119
05/07/2007;130;20;15,38461538
05/07/2008;181;27;14,91712707
05/07/2009;203;25;12,31527094
05/07/2010;174;19;10,91954023
05/07/2011;168;25;14,88095238
05/07/2012;176;18;10,22727273
05/07/2013;216;17;7,87037037
05/07/2014;199;29;14,57286432
05/07/2015;197;24;12,18274112
05/07/2016;136;17;12,5
05/07/2017;128;19;14,84375
05/07/2018;137;22;16,05839416
05/07/2019;203;24;11,8226601
05/07/2020;126;15;11,9047619
05/08/2007;191;26;13,61256545
05/08/2008;126;7;5,555555556
05/08/2009;134;17;12,68656716
05/08/2010;129;8;6,201550388
05/08/2011;229;32;13,97379913
05/08/2012;261;41;15,70881226
05/08/2013;173;15;8,670520231
05/08/2014;176;15;8,522727273
05/08/2015;125;21;16,8
05/08/2016;181;17;9,392265193
05/08/2017;178;19;10,6741573
05/08/2018;167;24;14,37125749
05/08/2019;144;7;4,861111111
05/08/2020;149;11;7,382550336
05/09/2007;131;19;14,50381679
05/09/2008;169;13;7,692307692
05/09/2009;292;40;13,69863014
05/09/2010;251;40;15,93625498
05/09/2011;150;14;9,333333333
05/09/2012;168;23;13,69047619
05/09/2013;174;10;5,747126437
05/09/2014;206;29;14,0776699
05/09/2015;259;21;8,108108108
05/09/2016;143;11;7,692307692
05/09/2017;140;7;5
05/09/2018;147;12;8,163265306
05/09/2019;144;11;7,638888889
05/09/2020;215;29;13,48837209
05/10/2007;142;14;9,85915493
05/10/2008;174;26;14,94252874
05/10/2009;141;15;10,63829787
05/10/2010;148;21;14,18918919
05/10/2011;176;25;14,20454545
05/10/2012;238;36;15,12605042
05/10/2013;250;44;17,6
05/10/2014;218;25;11,46788991
05/10/2015;152;13;8,552631579
05/10/2016;152;10;6,578947368
05/10/2017;138;13;9,420289855
05/10/2018;156;14;8,974358974
05/10/2019;174;17;9,770114943
05/10/2020;147;16;10,88435374
05/11/2007;128;27;21,09375
05/11/2008;117;9;7,692307692
05/11/2009;170;22;12,94117647
05/11/2010;218;20;9,174311927
05/11/2011;216;22;10,18518519
05/11/2012;159;16;10,06289308
05/11/2013;160;10;6,25
05/11/2014;166;16;9,638554217
05/11/2015;122;6;4,918032787
05/11/2016;202;20;9,900990099
05/11/2017;167;24;14,37125749
05/11/2018;151;16;10,59602649
05/11/2019;136;9;6,617647059
05/11/2020;145;15;10,34482759
